Array size,Initialize (sec),Transpose (sec),Reshape (sec),Shape (sec),Sum (sec),Mean (sec),Argmax (sec),Add same size (sec),Substract same size (sec),Multiply same size (sec),Divide same size (sec),Initialize zeros (sec)
"(3, 1)",2.002716064453125e-06,3.4968058268229164e-07,5.086263020833333e-07,1.7484029134114582e-07,6.008148193359375e-06,8.519490559895834e-06,3.0517578125e-06,1.0172526041666667e-06,9.218851725260417e-07,8.742014567057291e-07,2.447764078776042e-06,7.788340250651042e-07
"(10, 90)",3.925959269205729e-06,3.337860107421875e-07,4.76837158203125e-07,2.2252400716145834e-07,5.245208740234375e-06,7.518132527669271e-06,2.8133392333984377e-06,1.4781951904296875e-06,1.2874603271484376e-06,1.3192494710286458e-06,1.2556711832682292e-06,9.854634602864584e-07
