Small matrix:
5.42e-06,1.17e-06,1.9e-07,1.26e-06,9.6e-07,1.13e-06,2.9e-06,2.5e-06,3.17e-06,3.05e-06
1.72e-06,9.1e-07,1.4e-07,9.9e-07,8.6e-07,1.11e-06,2.54e-06,2.3e-06,2.99e-06,3.04e-06
1.06e-06,7.7e-07,1.3e-07,9e-07,8.1e-07,1.04e-06,2.34e-06,2.29e-06,3.02e-06,2.96e-06
9.7e-07,7.1e-07,1.2e-07,8.8e-07,8.5e-07,1.02e-06,2.35e-06,2.24e-06,2.9e-06,2.98e-06
1e-06,6.9e-07,1.2e-07,8.1e-07,8.4e-07,1.03e-06,2.28e-06,2.31e-06,2.84e-06,2.93e-06
1.05e-06,7.3e-07,1.3e-07,8.9e-07,8.1e-07,1.02e-06,2.36e-06,2.22e-06,2.99e-06,2.89e-06
9.9e-07,6.7e-07,1.4e-07,8.6e-07,7.9e-07,1.03e-06,2.37e-06,2.29e-06,3.01e-06,2.97e-06
1e-06,6.9e-07,1.3e-07,8.8e-07,7.9e-07,1.09e-06,2.36e-06,2.29e-06,2.91e-06,2.91e-06
9.7e-07,6.8e-07,1.3e-07,8.6e-07,8.6e-07,1.06e-06,2.28e-06,2.32e-06,2.88e-06,3.76e-06
1.52e-06,7.6e-07,1.2e-07,8.5e-07,8.3e-07,1.1e-06,2.37e-06,2.34e-06,3.01e-06,2.85e-06
9.8e-07,6.8e-07,1.3e-07,7.9e-07,7.9e-07,1.04e-06,2.23e-06,2.27e-06,2.97e-06,2.88e-06
9.7e-07,7e-07,1.3e-07,8.8e-07,8.4e-07,1.04e-06,2.31e-06,2.28e-06,2.96e-06,2.95e-06
1e-06,7.2e-07,1.2e-07,8.7e-07,8.6e-07,1.08e-06,2.31e-06,2.26e-06,2.89e-06,2.87e-06
1.02e-06,7e-07,1.3e-07,8.5e-07,8.7e-07,1.02e-06,2.29e-06,2.22e-06,2.89e-06,2.94e-06
1e-06,6.5e-07,1.2e-07,8.8e-07,8.9e-07,9.8e-07,2.28e-06,2.32e-06,2.87e-06,2.98e-06
Big matrix:
5.78e-06,3.771e-05,1.6e-07,1.1849e-05,7.62e-06,9.82e-06,1.994e-05,3.062e-05,2.105e-05,2.162e-05
3.39e-06,2.845e-05,1.3e-07,9.09e-06,7.62e-06,9.58e-06,1.886e-05,1.879e-05,2.016e-05,2.166e-05
3.22e-06,3.023e-05,1.6e-07,9.23e-06,7.7e-06,9.77e-06,1.92e-05,1.9e-05,2.045e-05,2.158e-05
3.16e-06,2.879e-05,1.5e-07,9.13e-06,7.58e-06,9.73e-06,1.881e-05,1.861e-05,2.032e-05,2.139e-05
3.13e-06,2.779e-05,1.2e-07,9.2e-06,7.59e-06,9.6e-06,1.903e-05,1.878e-05,2.006e-05,2.147e-05
3.22e-06,2.83e-05,1.3e-07,9e-06,7.57e-06,9.67e-06,1.89e-05,1.892e-05,2.015e-05,2.157e-05
3.09e-06,2.812e-05,1.3e-07,9.06e-06,7.62e-06,9.67e-06,2.198e-05,1.894e-05,2.044e-05,2.142e-05
3.02e-06,2.756e-05,1.3e-07,9.13e-06,7.52e-06,9.69e-06,1.878e-05,1.854e-05,2.012e-05,2.1179e-05
3.02e-06,2.872e-05,1.5e-07,9.01e-06,7.58e-06,9.75e-06,1.872e-05,1.872e-05,2.051e-05,2.131e-05
3.09e-06,3.032e-05,1.4e-07,8.83e-06,7.58e-06,9.85e-06,1.891e-05,1.881e-05,2.011e-05,2.127e-05
3.05e-06,2.775e-05,1.3e-07,9.2e-06,7.55e-06,9.83e-06,1.89e-05,1.871e-05,1.997e-05,2.139e-05
3.02e-06,2.75e-05,1.2e-07,9.11e-06,7.48e-06,9.68e-06,1.86e-05,3.0369e-05,1.997e-05,2.122e-05
3.03e-06,2.79e-05,1.3e-07,1.486e-05,7.6e-06,9.68e-06,1.883e-05,1.878e-05,2.01e-05,2.161e-05
3.12e-06,2.769e-05,1.4e-07,9.11e-06,7.62e-06,9.95e-06,1.867e-05,3.042e-05,1.991e-05,2.156e-05
3.04e-06,2.872e-05,1.2e-07,8.8e-06,7.59e-06,9.8e-06,1.869e-05,1.8879e-05,1.995e-05,2.125e-05
